number,title,state,created at,closed at,user,labels,description,day of week,month,year
50925,Upgrading Rails 7.0.8 to 7.1.3 broke ActionText attachments in development,closed,2024-01-30 13:37:50+00:00,2024-01-30 13:38:01+00:00,airblade,[],upgrad imag upload via actiontext start 404ing initi thought due see also http red her fact alreadi past upgrad rail eventu realis breakag fact due cours two file differ solut develop fortun product unaffect rail look elsewher valu chang post hope help anybodi els run problem,1,1,2024
50924,`ActiveStorage::Analyzer::VideoAnalyzerTest#test_analyzing_a_rotated_HDR_video` fails at Rails Nightly ,open,2024-01-30 13:22:24+00:00,,yahonda,"['activestorage', 'ci issues']",manag reproduc http docker unabl reproduc local rubi cd rail git clone http rubyanalyzingrotatedvideo expect actual 90 test main branch rubi master 8bff7e996c,1,1,2024
50923,BacktraceCleaner silence core internal methods by default,closed,2024-01-30 12:26:31+00:00,2024-01-30 12:42:24+00:00,casperisfine,['activesupport'],ref http recent rubi version pure c function move code locat silenc like stdlib etc cc yahonda,1,1,2024
50922,Fix loading schema cache when all databases have disabled database tasks,open,2024-01-30 11:49:46+00:00,,fatkodima,"['activerecord', 'railties']",fix 50910,1,1,2024
50921,Require 'uri' explicitly to address `NameError: uninitialized constant ToQueryTest::URI`,open,2024-01-30 11:33:51+00:00,,yahonda,['activesupport'],commit address ci failur http commit address follow rubi rubi rubi master 86547fd69d testnotlexicographicallynestedhashsortedforstructur nameerror uniniti constant toquerytest finish 1 run 0 assert 0 failur 1 error 0 skip behavior introduc sinc rubi vendor uri top level via http origin one explain reason http submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50920,Support encrypting binary columns,open,2024-01-30 10:53:34+00:00,,djmb,['activerecord'],activerecord encrypt prevent encrypt binari column proper support either data fed convert string mean encrypt layer transpar binari data pass type result data properli escap sql queri deseri correctli decrypt howev happen work fine mysql sqlite messageseri use charact need encod howev tri use custom serial break postgresql hand work bytea type pass string rather type deseri attempt unescap data either mangl rais error contain null byte commit fix issu reseri data encrypt decrypt text data binari data convert back type,1,1,2024
50919,Add negative_scopes option to ActiveRecord's enum method,open,2024-01-30 09:11:41+00:00,,Jay0921,['activerecord'],certain situat might need store queri valu option bypass neg scope avoid conflict add option offer flexibl option skip creation neg scope submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50918,More efficiently reset inspect implementation,closed,2024-01-30 07:36:13+00:00,2024-01-30 12:21:56+00:00,casperisfine,['activerecord'],anywher close hostspot allow less deffici pattern instead alloc unboundmethod directli replac method,1,1,2024
50917,Add support for `rails new --server falcon ...`.,open,2024-01-30 04:42:44+00:00,,ioquatix,"['activerecord', 'railties']",pull request creat use inde server easi pull request chang add support submit pr make sure follow check x commit messag detail descript chang pr fix relat issu includ commit messag ex x changelog file updat chang librari behavior chang addit featur minor bug fix document chang includ,1,1,2024
50916,Unexpected controller prefix path de-duplication in view partial lookup paths,open,2024-01-30 04:10:56+00:00,,sfnelson,[],creat nest control nest object view overlap control object namespac exampl rubi requir gemfil true sourc http gem rail end requir class testapp rail secretbas stdout get new get new get new get new end end modul cours modul quiz class question includ activemodel attrviewunrelatedfil nest partial lastdupl get end fail abstractrender mergeintopath break first match skip def testfil collis partial lastprefixobjectrepetit nest get end privat def app end def suffix control match prefix model repetit remov partial modul duplic detect remov detect overlap drop partial path confus inconsist modul duplic detect full modul path control prefix object path deep repetit,1,1,2024
